Using TensorFlow backend.
2018-02-01 18:25:19.097888: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

15296/50000 [========>.....................] - ETA: 6s - loss: 0.6489
15552/50000 [========>.....................] - ETA: 6s - loss: 0.6488
15872/50000 [========>.....................] - ETA: 6s - loss: 0.6488
16192/50000 [========>.....................] - ETA: 6s - loss: 0.6487
16512/50000 [========>.....................] - ETA: 5s - loss: 0.6488
16832/50000 [=========>....................] - ETA: 5s - loss: 0.6488
17152/50000 [=========>....................] - ETA: 5s - loss: 0.6487
17472/50000 [=========>....................] - ETA: 5s - loss: 0.6486
17792/50000 [=========>....................] - ETA: 5s - loss: 0.6486
18112/50000 [=========>....................] - ETA: 5s - loss: 0.6487
18432/50000 [==========>...................] - ETA: 5s - loss: 0.6486
18752/50000 [==========>...................] - ETA: 5s - loss: 0.6487
19072/50000 [==========>...................] - ETA: 5s - loss: 0.6487
19392/50000 [==========>...................] - ETA: 5s - loss: 0.6486
19712/50000 [==========>...................] - ETA: 5s - loss: 0.6486
20032/50000 [===========>..................] - ETA: 5s - loss: 0.6486
20352/50000 [===========>..................] - ETA: 5s - loss: 0.6485
20672/50000 [===========>..................] - ETA: 5s - loss: 0.6485
20992/50000 [===========>..................] - ETA: 5s - loss: 0.6485
21312/50000 [===========>..................] - ETA: 5s - loss: 0.6485
21632/50000 [===========>..................] - ETA: 5s - loss: 0.6484
21952/50000 [============>.................] - ETA: 5s - loss: 0.6484
22208/50000 [============>.................] - ETA: 4s - loss: 0.6483
22528/50000 [============>.................] - ETA: 4s - loss: 0.6483
22848/50000 [============>.................] - ETA: 4s - loss: 0.6482
23168/50000 [============>.................] - ETA: 4s - loss: 0.6482
23488/50000 [=============>................] - ETA: 4s - loss: 0.6482
23808/50000 [=============>................] - ETA: 4s - loss: 0.6482
24128/50000 [=============>................] - ETA: 4s - loss: 0.6482
24448/50000 [=============>................] - ETA: 4s - loss: 0.6482
24768/50000 [=============>................] - ETA: 4s - loss: 0.6482
25088/50000 [==============>...............] - ETA: 4s - loss: 0.6482
25408/50000 [==============>...............] - ETA: 4s - loss: 0.6482
25728/50000 [==============>...............] - ETA: 4s - loss: 0.6482
26048/50000 [==============>...............] - ETA: 4s - loss: 0.6482
