Using TensorFlow backend.
2018-01-30 18:48:11.773928: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Reading TRAIN data...
Reading TEST data...
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

38656/50000 [======================>.......] - ETA: 0s - loss: 0.2079
39936/50000 [======================>.......] - ETA: 0s - loss: 0.2078
41216/50000 [=======================>......] - ETA: 0s - loss: 0.2077
42496/50000 [========================>.....] - ETA: 0s - loss: 0.2075
43776/50000 [=========================>....] - ETA: 0s - loss: 0.2074
45056/50000 [==========================>...] - ETA: 0s - loss: 0.2073
46336/50000 [==========================>...] - ETA: 0s - loss: 0.2072
47616/50000 [===========================>..] - ETA: 0s - loss: 0.2071
48896/50000 [============================>.] - ETA: 0s - loss: 0.2070
50000/50000 [==============================] - 2s 49us/step - loss: 0.2069 - val_loss: 0.2005
Epoch 7/50

  256/50000 [..............................] - ETA: 2s - loss: 0.2003
 1536/50000 [..............................] - ETA: 2s - loss: 0.2014
 2816/50000 [>.............................] - ETA: 2s - loss: 0.2021
 4096/50000 [=>............................] - ETA: 1s - loss: 0.2028
 5376/50000 [==>...........................] - ETA: 1s - loss: 0.2025
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.2017
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.2018
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.2014
10496/50000 [=====>........................] - ETA: 1s - loss: 0.2012
11776/50000 [======>.......................] - ETA: 1s - loss: 0.2012
13056/50000 [======>.......................] - ETA: 1s - loss: 0.2009
14336/50000 [=======>......................] - ETA: 1s - loss: 0.2008
15616/50000 [========>.....................] - ETA: 1s - loss: 0.2007
16896/50000 [=========>....................] - ETA: 1s - loss: 0.2003
18176/50000 [=========>....................] - ETA: 1s - loss: 0.2001
19456/50000 [==========>...................] - ETA: 1s - loss: 0.2001
20736/50000 [===========>..................] - ETA: 1s - loss: 0.2001
22016/50000 [============>.................] - ETA: 1s - loss: 0.1999
23296/50000 [============>.................] - ETA: 1s - loss: 0.1998
24576/50000 [=============>................] - ETA: 1s - loss: 0.1998
25856/50000 [==============>...............] - ETA: 1s - loss: 0.1997
27136/50000 [===============>..............] - ETA: 1s - loss: 0.1996
28416/50000 [================>.............] - ETA: 0s - loss: 0.1995
29696/50000 [================>.............] - ETA: 0s - loss: 0.1994
30976/50000 [=================>............] - ETA: 0s - loss: 0.1993
32256/50000 [==================>...........] - ETA: 0s - loss: 0.1991
33536/50000 [===================>..........] - ETA: 0s - loss: 0.1990
34816/50000 [===================>..........] - ETA: 0s - loss: 0.1989
36096/50000 [====================>.........] - ETA: 0s - loss: 0.1988
37376/50000 [=====================>........] - ETA: 0s - loss: 0.1987
38656/50000 [======================>.......] - ETA: 0s - loss: 0.1986
39936/50000 [======================>.......] - ETA: 0s - loss: 0.1986
41216/50000 [=======================>......] - ETA: 0s - loss: 0.1984
42496/50000 [========================>.....] - ETA: 0s - loss: 0.1983
43776/50000 [=========================>....] - ETA: 0s - loss: 0.1982
45056/50000 [==========================>...] - ETA: 0s - loss: 0.1981
46336/50000 [==========================>...] - ETA: 0s - loss: 0.1980
47616/50000 [===========================>..] - ETA: 0s - loss: 0.1979
48896/50000 [============================>.] - ETA: 0s - loss: 0.1978
50000/50000 [==============================] - 2s 49us/step - loss: 0.1977 - val_loss: 0.1923
Epoch 8/50

  256/50000 [..............................] - ETA: 2s - loss: 0.1898
 1536/50000 [..............................] - ETA: 2s - loss: 0.1912
 2816/50000 [>.............................] - ETA: 2s - loss: 0.1925
 4096/50000 [=>............................] - ETA: 1s - loss: 0.1927
 5376/50000 [==>...........................] - ETA: 1s - loss: 0.1926
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.1928
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.1928
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.1929
10496/50000 [=====>........................] - ETA: 1s - loss: 0.1927
11776/50000 [======>.......................] - ETA: 1s - loss: 0.1925
13056/50000 [======>.......................] - ETA: 1s - loss: 0.1924
14336/50000 [=======>......................] - ETA: 1s - loss: 0.1925
15616/50000 [========>.....................] - ETA: 1s - loss: 0.1926
16896/50000 [=========>....................] - ETA: 1s - loss: 0.1924
18176/50000 [=========>....................] - ETA: 1s - loss: 0.1924
19456/50000 [==========>...................] - ETA: 1s - loss: 0.1923
20736/50000 [===========>..................] - ETA: 1s - loss: 0.1922
22016/50000 [============>.................] - ETA: 1s - loss: 0.1920
23296/50000 [============>.................] - ETA: 1s - loss: 0.1920
24576/50000 [=============>................] - ETA: 1s - loss: 0.1919
25856/50000 [==============>...............] - ETA: 1s - loss: 0.1918
27136/50000 [===============>..............] - ETA: 0s - loss: 0.1918
28416/50000 [================>.............] - ETA: 0s - loss: 0.1917
29696/50000 [================>.............] - ETA: 0s - loss: 0.1916
30976/50000 [=================>............] - ETA: 0s - loss: 0.1916
32256/50000 [==================>...........] - ETA: 0s - loss: 0.1915
33536/50000 [===================>..........] - ETA: 0s - loss: 0.1913
34816/50000 [===================>..........] - ETA: 0s - loss: 0.1913
36096/50000 [====================>.........] - ETA: 0s - loss: 0.1911
37376/50000 [=====================>........] - ETA: 0s - loss: 0.1910
38656/50000 [======================>.......] - ETA: 0s - loss: 0.1908
39936/50000 [======================>.......] - ETA: 0s - loss: 0.1907
41216/50000 [=======================>......] - ETA: 0s - loss: 0.1907
42496/50000 [========================>.....] - ETA: 0s - loss: 0.1906
43776/50000 [=========================>....] - ETA: 0s - loss: 0.1905
45056/50000 [==========================>...] - ETA: 0s - loss: 0.1904
46336/50000 [==========================>...] - ETA: 0s - loss: 0.1904
47616/50000 [===========================>..] - ETA: 0s - loss: 0.1903
48896/50000 [============================>.] - ETA: 0s - loss: 0.1902
50000/50000 [==============================] - 2s 48us/step - loss: 0.1902 - val_loss: 0.1853
Epoch 9/50

  256/50000 [..............................] - ETA: 2s - loss: 0.1902
 1536/50000 [..............................] - ETA: 2s - loss: 0.1879
 2816/50000 [>.............................] - ETA: 2s - loss: 0.1857
 4096/50000 [=>............................] - ETA: 2s - loss: 0.1855
 5376/50000 [==>...........................] - ETA: 1s - loss: 0.1851
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.1852
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.1854
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.1854
10496/50000 [=====>........................] - ETA: 1s - loss: 0.1854
11776/50000 [======>.......................] - ETA: 1s - loss: 0.1855
13056/50000 [======>.......................] - ETA: 1s - loss: 0.1854
14336/50000 [=======>......................] - ETA: 1s - loss: 0.1854
15616/50000 [========>.....................] - ETA: 1s - loss: 0.1855
16896/50000 [=========>....................] - ETA: 1s - loss: 0.1855
18176/50000 [=========>....................] - ETA: 1s - loss: 0.1854
19456/50000 [==========>...................] - ETA: 1s - loss: 0.1854
20480/50000 [===========>..................] - ETA: 1s - loss: 0.1853
21504/50000 [===========>..................] - ETA: 1s - loss: 0.1852
22784/50000 [============>.................] - ETA: 1s - loss: 0.1851
23808/50000 [=============>................] - ETA: 1s - loss: 0.1850
24576/50000 [=============>................] - ETA: 1s - loss: 0.1850
25088/50000 [==============>...............] - ETA: 1s - loss: 0.1850
25600/50000 [==============>...............] - ETA: 1s - loss: 0.1850
26368/50000 [==============>...............] - ETA: 1s - loss: 0.1849
27136/50000 [===============>..............] - ETA: 1s - loss: 0.1848
27648/50000 [===============>..............] - ETA: 1s - loss: 0.1849
28160/50000 [===============>..............] - ETA: 1s - loss: 0.1848
28928/50000 [================>.............] - ETA: 1s - loss: 0.1848
29696/50000 [================>.............] - ETA: 1s - loss: 0.1847
30208/50000 [=================>............] - ETA: 1s - loss: 0.1847
30720/50000 [=================>............] - ETA: 1s - loss: 0.1847
31488/50000 [=================>............] - ETA: 1s - loss: 0.1845
32000/50000 [==================>...........] - ETA: 1s - loss: 0.1845
32768/50000 [==================>...........] - ETA: 1s - loss: 0.1845
33536/50000 [===================>..........] - ETA: 0s - loss: 0.1844
34048/50000 [===================>..........] - ETA: 0s - loss: 0.1844
34560/50000 [===================>..........] - ETA: 0s - loss: 0.1844
35072/50000 [====================>.........] - ETA: 0s - loss: 0.1843
35840/50000 [====================>.........] - ETA: 0s - loss: 0.1843
36352/50000 [====================>.........] - ETA: 0s - loss: 0.1843
