Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

48000/50000 [===========================>..] - ETA: 0s - loss: 0.6598
48320/50000 [===========================>..] - ETA: 0s - loss: 0.6597
48640/50000 [============================>.] - ETA: 0s - loss: 0.6597
48960/50000 [============================>.] - ETA: 0s - loss: 0.6597
49344/50000 [============================>.] - ETA: 0s - loss: 0.6596
49664/50000 [============================>.] - ETA: 0s - loss: 0.6596
49984/50000 [============================>.] - ETA: 0s - loss: 0.6596
50000/50000 [==============================] - 8s 168us/step - loss: 0.6596 - val_loss: 0.6529
Epoch 3/50

   64/50000 [..............................] - ETA: 7s - loss: 0.6538
  384/50000 [..............................] - ETA: 8s - loss: 0.6529
  768/50000 [..............................] - ETA: 8s - loss: 0.6526
 1152/50000 [..............................] - ETA: 7s - loss: 0.6530
 1536/50000 [..............................] - ETA: 7s - loss: 0.6531
 1920/50000 [>.............................] - ETA: 7s - loss: 0.6529
 2240/50000 [>.............................] - ETA: 7s - loss: 0.6528
 2560/50000 [>.............................] - ETA: 7s - loss: 0.6529
 2880/50000 [>.............................] - ETA: 7s - loss: 0.6532
 3328/50000 [>.............................] - ETA: 7s - loss: 0.6530
 3584/50000 [=>............................] - ETA: 7s - loss: 0.6530
 3840/50000 [=>............................] - ETA: 7s - loss: 0.6531
 4096/50000 [=>............................] - ETA: 7s - loss: 0.6529
 4352/50000 [=>............................] - ETA: 7s - loss: 0.6531
 4672/50000 [=>............................] - ETA: 7s - loss: 0.6531
 4928/50000 [=>............................] - ETA: 7s - loss: 0.6532
 5184/50000 [==>...........................] - ETA: 7s - loss: 0.6533
 5440/50000 [==>...........................] - ETA: 7s - loss: 0.6532
 5760/50000 [==>...........................] - ETA: 7s - loss: 0.6529
 6080/50000 [==>...........................] - ETA: 7s - loss: 0.6529
 6400/50000 [==>...........................] - ETA: 7s - loss: 0.6529
 6720/50000 [===>..........................] - ETA: 7s - loss: 0.6527
 7040/50000 [===>..........................] - ETA: 7s - loss: 0.6525
 7360/50000 [===>..........................] - ETA: 7s - loss: 0.6525
 7680/50000 [===>..........................] - ETA: 7s - loss: 0.6525
 8000/50000 [===>..........................] - ETA: 7s - loss: 0.6526
 8320/50000 [===>..........................] - ETA: 7s - loss: 0.6526
 8640/50000 [====>.........................] - ETA: 7s - loss: 0.6525
 8960/50000 [====>.........................] - ETA: 7s - loss: 0.6525
 9280/50000 [====>.........................] - ETA: 7s - loss: 0.6526
 9600/50000 [====>.........................] - ETA: 7s - loss: 0.6524
 9920/50000 [====>.........................] - ETA: 7s - loss: 0.6524
10240/50000 [=====>........................] - ETA: 7s - loss: 0.6524
10560/50000 [=====>........................] - ETA: 7s - loss: 0.6523
10880/50000 [=====>........................] - ETA: 6s - loss: 0.6523
11264/50000 [=====>........................] - ETA: 6s - loss: 0.6521
11648/50000 [=====>........................] - ETA: 6s - loss: 0.6520
