D:\Programs\Anaconda3\python.exe D:/Workspace/PycharmProjects/vae-master-thesis/VAEsInKeras/mnist.py
Using TensorFlow backend.

Train on 55000 samples, validate on 5000 samples

Epoch 1/50
  256/55000 [..............................] - ETA: 4:02 - loss: 0.6931OMP: Info #250: KMP_AFFINITY: pid 14412 tid 10644 thread 16 bound to OS proc set 0
17152/55000 [========>.....................] - ETA: 1s - loss: 0.0096
18688/55000 [=========>....................] - ETA: 1s - loss: 0.0096
19968/55000 [=========>....................] - ETA: 1s - loss: 0.0096
21504/55000 [==========>...................] - ETA: 1s - loss: 0.0095
23040/55000 [===========>..................] - ETA: 1s - loss: 0.0095
23808/55000 [===========>..................] - ETA: 1s - loss: 0.0095
25344/55000 [============>.................] - ETA: 1s - loss: 0.0095
26624/55000 [=============>................] - ETA: 1s - loss: 0.0095
28160/55000 [==============>...............] - ETA: 1s - loss: 0.0095
29440/55000 [===============>..............] - ETA: 1s - loss: 0.0095
30720/55000 [===============>..............] - ETA: 1s - loss: 0.0095
32256/55000 [================>.............] - ETA: 1s - loss: 0.0095
33280/55000 [=================>............] - ETA: 1s - loss: 0.0095
34816/55000 [=================>............] - ETA: 0s - loss: 0.0095
36352/55000 [==================>...........] - ETA: 0s - loss: 0.0095
37632/55000 [===================>..........] - ETA: 0s - loss: 0.0095
38912/55000 [====================>.........] - ETA: 0s - loss: 0.0095
39680/55000 [====================>.........] - ETA: 0s - loss: 0.0095
40960/55000 [=====================>........] - ETA: 0s - loss: 0.0095
41728/55000 [=====================>........] - ETA: 0s - loss: 0.0095
43008/55000 [======================>.......] - ETA: 0s - loss: 0.0095
44288/55000 [=======================>......] - ETA: 0s - loss: 0.0095
45568/55000 [=======================>......] - ETA: 0s - loss: 0.0095
47104/55000 [========================>.....] - ETA: 0s - loss: 0.0095
48384/55000 [=========================>....] - ETA: 0s - loss: 0.0095
49664/55000 [==========================>...] - ETA: 0s - loss: 0.0095
51200/55000 [==========================>...] - ETA: 0s - loss: 0.0095
51968/55000 [===========================>..] - ETA: 0s - loss: 0.0095
53504/55000 [============================>.] - ETA: 0s - loss: 0.0095
54272/55000 [============================>.] - ETA: 0s - loss: 0.0095
55000/55000 [==============================] - 3s 50us/step - loss: 0.0095 - val_loss: 0.0093
Epoch 9/50

  256/55000 [..............................] - ETA: 2s - loss: 0.0094
 1792/55000 [..............................] - ETA: 2s - loss: 0.0093
 3328/55000 [>.............................] - ETA: 2s - loss: 0.0093
 3840/55000 [=>............................] - ETA: 2s - loss: 0.0093
 5376/55000 [=>............................] - ETA: 2s - loss: 0.0093
 6912/55000 [==>...........................] - ETA: 2s - loss: 0.0093
 7424/55000 [===>..........................] - ETA: 2s - loss: 0.0093
 8704/55000 [===>..........................] - ETA: 2s - loss: 0.0093
 9984/55000 [====>.........................] - ETA: 2s - loss: 0.0093
11520/55000 [=====>........................] - ETA: 2s - loss: 0.0093
13056/55000 [======>.......................] - ETA: 1s - loss: 0.0093
13824/55000 [======>.......................] - ETA: 2s - loss: 0.0093
15360/55000 [=======>......................] - ETA: 1s - loss: 0.0093
16640/55000 [========>.....................] - ETA: 1s - loss: 0.0093
18176/55000 [========>.....................] - ETA: 1s - loss: 0.0093
19456/55000 [=========>....................] - ETA: 1s - loss: 0.0093
20224/55000 [==========>...................] - ETA: 1s - loss: 0.0092
21760/55000 [==========>...................] - ETA: 1s - loss: 0.0093
22528/55000 [===========>..................] - ETA: 1s - loss: 0.0092
24064/55000 [============>.................] - ETA: 1s - loss: 0.0092
25600/55000 [============>.................] - ETA: 1s - loss: 0.0092
27136/55000 [=============>................] - ETA: 1s - loss: 0.0092
28672/55000 [==============>...............] - ETA: 1s - loss: 0.0092
30208/55000 [===============>..............] - ETA: 1s - loss: 0.0092
31488/55000 [================>.............] - ETA: 1s - loss: 0.0092
32512/55000 [================>.............] - ETA: 1s - loss: 0.0092
34048/55000 [=================>............] - ETA: 1s - loss: 0.0092
35328/55000 [==================>...........] - ETA: 0s - loss: 0.0092
36864/55000 [===================>..........] - ETA: 0s - loss: 0.0092
38144/55000 [===================>..........] - ETA: 0s - loss: 0.0092
39168/55000 [====================>.........] - ETA: 0s - loss: 0.0092
40704/55000 [=====================>........] - ETA: 0s - loss: 0.0092
41984/55000 [=====================>........] - ETA: 0s - loss: 0.0092
43520/55000 [======================>.......] - ETA: 0s - loss: 0.0092
45056/55000 [=======================>......] - ETA: 0s - loss: 0.0092
45568/55000 [=======================>......] - ETA: 0s - loss: 0.0092
47104/55000 [========================>.....] - ETA: 0s - loss: 0.0092
48384/55000 [=========================>....] - ETA: 0s - loss: 0.0092
49152/55000 [=========================>....] - ETA: 0s - loss: 0.0092
50688/55000 [==========================>...] - ETA: 0s - loss: 0.0092
51968/55000 [===========================>..] - ETA: 0s - loss: 0.0092
53504/55000 [============================>.] - ETA: 0s - loss: 0.0092
54784/55000 [============================>.] - ETA: 0s - loss: 0.0092
55000/55000 [==============================] - 3s 49us/step - loss: 0.0092 - val_loss: 0.0091
Epoch 10/50

